1, 2015, 22, 6
1, 2015, 23, 2
1, 2015, 24, 65
1, 2015, 25, 103
1, 2015, 26, 21
1, 2015, 27, 19
1, 2015, 28, 11
1, 2015, 29, 18
1, 2015, 30, 37
1, 2015, 31, 59
1, 2015, 32, 62
1, 2015, 33, 84
1, 2015, 34, 135
1, 2015, 35, 135
1, 2015, 41, 434
1, 2015, 36, 160
1, 2015, 37, 292
1, 2015, 39, 355
1, 2015, 38, 252
1, 2015, 40, 455
1, 2016, 5, 1171
1, 2015, 42, 582
1, 2015, 43, 457
1, 2015, 44, 361
1, 2015, 45, 433
1, 2015, 46, 461
1, 2015, 47, 469
1, 2015, 48, 397
1, 2015, 49, 505
1, 2015, 50, 444
1, 2015, 51, 710
1, 2016, 1, 477
1, 2016, 0, 684
1, 2016, 2, 438
1, 2016, 3, 613
1, 2016, 4, 617
1, 2016, 6, 662
1, 2016, 12, 491
1, 2016, 7, 364
1, 2016, 8, 542
1, 2016, 9, 613
1, 2016, 11, 409
1, 2016, 10, 456
1, 2016, 13, 315
1, 2016, 41, 281
1, 2016, 14, 283
1, 2016, 15, 275
1, 2016, 16, 213
1, 2016, 17, 331
1, 2016, 18, 239
1, 2016, 19, 341
1, 2016, 20, 187
1, 2016, 38, 480
1, 2016, 21, 313
1, 2016, 22, 240
1, 2016, 23, 155
1, 2016, 24, 69
1, 2016, 25, 75
1, 2016, 26, 30
1, 2016, 27, 48
1, 2016, 28, 35
1, 2016, 29, 34
1, 2016, 30, 27
1, 2016, 31, 41
1, 2016, 32, 62
1, 2016, 33, 53
1, 2016, 34, 157
1, 2016, 35, 503
1, 2016, 44, 491
1, 2016, 36, 339
1, 2016, 39, 355
1, 2016, 37, 262
1, 2016, 40, 417
1, 2016, 43, 372
1, 2016, 42, 312
1, 2016, 50, 334
1, 2016, 49, 2030
1, 2016, 51, 575
1, 2016, 45, 310
1, 2016, 46, 194
1, 2016, 47, 275
1, 2016, 48, 1165
1, 2016, 52, 946
1, 2017, 1, 265
1, 2017, 2, 404
1, 2017, 3, 518
1, 2017, 4, 680
1, 2017, 5, 680
1, 2017, 6, 253
1, 2017, 10, 341
1, 2017, 7, 322
1, 2017, 8, 289
1, 2017, 11, 164
1, 2017, 9, 336
1, 2017, 12, 326
1, 2017, 13, 250
1, 2017, 14, 312
1, 2017, 15, 225
1, 2017, 16, 179
1, 2017, 17, 697
1, 2017, 18, 173
1, 2017, 19, 150
1, 2017, 20, 151
